row_index,url,status,reason,source_file
0,https://commons.wikimedia.org/wiki/File:Dom_of_the_Rock-10.JPG,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\File:Dom_of_the_Rock-10.JPG',2936035-1161937.csv
2,https://upload.wikimedia.org/wikipedia/commons/3/3b/https://upload.wikimedia.org/wikipedia/commons/3/3c/Ruins_by_Seabastia_06.jpg.jpg,download_failed,HTTP Error 404: Not Found,2936035-1161937.csv
13,https://images.unsplash.com/photo-1533632359083-018577794406,download_failed,HTTP Error 404: Not Found,2938271-1181804.csv
16,https://images.unsplash.com/photo-1582967788606-a171f1080ca8,download_failed,HTTP Error 404: Not Found,2938271-1181804.csv
18,https://images.unsplash.com/photo-1579606329066-50a1036f0436,download_failed,HTTP Error 404: Not Found,2938271-1181804.csv
19,https://images.unsplash.com/photo-1533423996375-f914d5e7178a,download_failed,HTTP Error 404: Not Found,2938271-1181804.csv
23,https://www.lilysunchinatours.com/Uploads/Editor/2020-12-18/5fdc5f51e9abd.jpg,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\5fdc5f51e9abd.jpg',2937999-1190855.csv
46,https://i.ibb.co/zVHFVpvV/Egypt.jpg,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\Egypt.jpg',2938087-1200242.csv
63,https://images.pexels.com/photos/26841021/pexels-photo-26841021.jpeg,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\pexels-photo-26841021.jpeg',2938588-1200964 .csv
65,https://images.pexels.com/photos/13043589/pexels-photo-13043589.jpeg,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\pexels-photo-13043589.jpeg',2938588-1200964 .csv
67,https://images.pexels.com/photos/13314280/pexels-photo-13314280.jpeg,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\pexels-photo-13314280.jpeg',2938588-1200964 .csv
70,https://image2url.com/images/1764797123282-1f04db5d-565a-4236-a5bb-4eb884ca30c4.jpg,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\1764797123282-1f04db5d-565a-4236-a5bb-4eb884ca30c4.jpg',2937520-1201169.csv
73,https://image2url.com/images/1764796615612-e69f8397-3793-4e75-a6da-429b09513449.jpg,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\1764796615612-e69f8397-3793-4e75-a6da-429b09513449.jpg',2937520-1201169.csv
80,https://unsplash.com/photos/a-view-of-the-eiffel-tower-through-the-trees-AdfPx-4Ui9A,download_failed,HTTP Error 403: Forbidden,2938444-1201208.csv
81,https://unsplash.com/photos/a-view-of-a-blue-domed-building-on-the-edge-of-a-cliff-DbBwe7nGr3k,download_failed,HTTP Error 403: Forbidden,2938444-1201208.csv
82,https://unsplash.com/photos/brown-wooden-chinese-temple-8DktsQ194t4,download_failed,HTTP Error 403: Forbidden,2938444-1201208.csv
83,https://unsplash.com/photos/a-large-body-of-water-filled-with-lots-of-boats-AWBGWi03XBw,download_failed,HTTP Error 403: Forbidden,2938444-1201208.csv
84,https://unsplash.com/photos/white-and-brown-concrete-building-near-body-of-water-during-daytime-Ko9FDFvzU7M,download_failed,HTTP Error 403: Forbidden,2938444-1201208.csv
85,https://unsplash.com/photos/an-aerial-view-of-a-lush-green-field-ZA3tbwnvr5Y,download_failed,HTTP Error 403: Forbidden,2938444-1201208.csv
86,https://unsplash.com/photos/an-aerial-view-of-a-city-with-lots-of-trees-M0yR_Q7WTwU,download_failed,HTTP Error 403: Forbidden,2938444-1201208.csv
87,https://unsplash.com/photos/a-city-with-many-buildings-s1qvaSQxTqM,download_failed,HTTP Error 403: Forbidden,2938444-1201208.csv
88,https://unsplash.com/photos/purple-and-white-flower-garden--LiPS85csDM,download_failed,HTTP Error 403: Forbidden,2938444-1201208.csv
89,https://unsplash.com/photos/green-mountains-beside-body-of-water-during-daytime-11ctPqqYO1U,download_failed,HTTP Error 403: Forbidden,2938444-1201208.csv
100,https://www.ricksteves.com/watch-read-listen/read/articles/the-cow-culture-of-switzerlands-berner-oberland,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\855d529259c4c17d2bbbb39f32bbb2e7.jpg',2935801-1201261.csv
108,https://us.images.westend61.de/0001372861pw/spain-madrid-aerial-view-of-santiago-bernabeu-stadium-DAMF00446.jpg,download_failed,HTTP Error 402: Payment Required,2935801-1201261.csv
109,https://commons.wikimedia.org/wiki/File:Uzung%C3%B6l_lake_and_town.jpg,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\File:Uzung%C3%B6l_lake_and_town.jpg',2935801-1201261.csv
110,https://unsplash.com/photos/water-falls-under-blue-sky-and-white-clouds-during-daytime-IzjogSsUdMk,download_failed,HTTP Error 403: Forbidden,2938388-1201768 .csv
111,https://unsplash.com/photos/reflection-on-trees-on-clear-body-of-water-during-sunset-w5pqeNrxKU0,download_failed,HTTP Error 403: Forbidden,2938388-1201768 .csv
112,https://www.pexels.com/photo/view-of-a-mountain-under-the-blue-sky-13395180/,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\9f8a559cc621727f575d0119eaa2c2be.jpg',2938388-1201768 .csv
113,https://unsplash.com/photos/brown-and-white-concrete-buildings-under-white-clouds-during-daytime-IA0-dP_hnbI,download_failed,HTTP Error 403: Forbidden,2938388-1201768 .csv
114,https://www.pexels.com/photo/aerial-view-of-hunza-valley-in-autumn-35061821/,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\49bac6317d39004bd97119b014a4dafb.jpg',2938388-1201768 .csv
115,https://www.pexels.com/photo/rocky-mountain-2683750/,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\4671d22a0b40f64235d0b86a3d098f1f.jpg',2938388-1201768 .csv
116,https://unsplash.com/photos/a-train-traveling-through-a-snow-covered-mountain-range-w5AhRsMecbk,download_failed,HTTP Error 403: Forbidden,2938388-1201768 .csv
117,https://unsplash.com/photos/a-path-through-a-forest-with-lots-of-trees-8gXWOYCRQ_A,download_failed,HTTP Error 403: Forbidden,2938388-1201768 .csv
118,https://unsplash.com/photos/famous-tourist-attraction-of-china-zhangjiajie-stone-pillars-cliff-mountains-in-fog-clouds-at-wulingyuan-hunan-china-q0vJQ8T0rZU,download_failed,HTTP Error 403: Forbidden,2938388-1201768 .csv
119,https://www.pexels.com/photo/igloos-at-dawn-15825092/,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\d5cd213c8869aa6510f44750f0afba0d.jpg',2938388-1201768 .csv
143,https://photos.smugmug.com/Kyoto/Honeymoon-in-Kyoto/i-LdmsJPZ/0/26b66d84/L/shutterstock_626644001-L.jpg,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\shutterstock_626644001-L.jpg',2938246-1202251.csv
156,https://images.pexels.com/photos/48178/mountains-ice-bergs-antarctica-berg-48178.jpeg,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\mountains-ice-bergs-antarctica-berg-48178.jpeg',2937992-1202450.csv
160,https://i0.wp.com/www.engagingcultures.com/wp-content/uploads/2016/11/The-Treasury-of-Petra-wide-Jordan-tour-2721.jpg?fit=1000%2C667&ssl=1,download_failed,HTTP Error 404: Not Found,2935939-1203048.csv
174,https://assets3.thrillist.com/v1/image/3185166/1584x1056/crop;webp=auto;jpeg_quality=60;progressive.jpg,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\c88b308538f25f8c1690491fe14acaff.jpg',2934677-1210084.csv
179,https://stockcake.com/i/eiffel-tower-evening_1268757_146279,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\7856874f1d3a9bbf0fbf5061e6d0ecfe.jpg',2938366-1210123.csv
180,https://unsplash.com/photos/machu-picchu-peru-bDaqeARFTkA,download_failed,HTTP Error 403: Forbidden,2938366-1210123.csv
181,https://stockcake.com/i/santorini-coastal-view_653037_109968,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\080f9664e2be0b4cb10ed3d659ca4972.jpg',2938366-1210123.csv
182,https://unsplash.com/photos/colorful-buildings-line-a-canal-with-reflections-c01ErvKr8O8,download_failed,HTTP Error 403: Forbidden,2938366-1210123.csv
183,https://stockcake.com/i/tropical-resort-paradise_264018_52193,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\b4fe6b208844f73651063127aa243e42.jpg',2938366-1210123.csv
184,https://stockcake.com/i/frozen-mountain-majesty_911128_984051,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\3b2880987b65240791396f00fea7a9a3.jpg',2938366-1210123.csv
185,https://unsplash.com/photos/photo-of-pack-of-wolf-pulling-sled-R4MWttqQAuM,download_failed,HTTP Error 403: Forbidden,2938366-1210123.csv
186,https://stockcake.com/i/autumn-cobblestone-street_1178759_1104307,corrupt_or_unreadable,cannot identify image file 'C:\\Users\\hp\\Desktop\\MachineAss3\\data\\raw\\images\\4d6919dc1d688d703ca3385d0762ee3a.jpg',2938366-1210123.csv
